lesson_id,level,module,lesson,module_title,communication_goal,speaking_design_brief,writing_design_brief,language_to_teach_or_refresh,delayed_check_design,status
active-a2-m07-l01,A2,7,1,Travel and accommodation,Ask for travel information,Ask for travel information. Use a spoken answer in this setting: a transport or hotel exchange. The partner asks one relevant question at a time.,Ask for travel information. Write for this purpose: a travel update or accommodation request. Include only the information the reader needs.,travel vocabulary; Perfekt; indirect question chunks; alternative times,Handle a new schedule change and request a suitable alternative,draft—teacher review required
active-a2-m07-l02,A2,7,2,Travel and accommodation,Book or change straightforward accommodation details,Book or change straightforward accommodation details. Use a spoken answer in this setting: a transport or hotel exchange. The partner asks one relevant question at a time.,Book or change straightforward accommodation details. Write for this purpose: a travel update or accommodation request. Include only the information the reader needs.,travel vocabulary; Perfekt; indirect question chunks; alternative times,Handle a new schedule change and request a suitable alternative,draft—teacher review required
active-a2-m07-l03,A2,7,3,Travel and accommodation,Explain a delay during a journey,Explain a delay during a journey. Use a spoken answer in this setting: a transport or hotel exchange. The partner asks one relevant question at a time.,Explain a delay during a journey. Write for this purpose: a travel update or accommodation request. Include only the information the reader needs.,travel vocabulary; Perfekt; indirect question chunks; alternative times,Handle a new schedule change and request a suitable alternative,draft—teacher review required
active-a2-m07-l04,A2,7,4,Travel and accommodation,Describe a recent trip and give a simple recommendation,Describe a recent trip and give a simple recommendation. Use a spoken answer in this setting: a transport or hotel exchange. The partner asks one relevant question at a time.,Describe a recent trip and give a simple recommendation. Write for this purpose: a travel update or accommodation request. Include only the information the reader needs.,travel vocabulary; Perfekt; indirect question chunks; alternative times,Handle a new schedule change and request a suitable alternative,draft—teacher review required
active-a2-m08-l01,A2,8,1,Health and daily wellbeing,Describe symptoms and how long they have lasted,Describe symptoms and how long they have lasted. Use a spoken answer in this setting: a receptionist or simulated everyday health exchange. The partner asks one relevant question at a time.,Describe symptoms and how long they have lasted. Write for this purpose: a brief appointment or absence email. Include only the information the reader needs.,seit; symptom vocabulary; time/reason; polite clarification; no medical advice,Explain a different fictional situation and clarify an unfamiliar appointment instruction,draft—teacher review required
active-a2-m08-l02,A2,8,2,Health and daily wellbeing,Arrange or change a routine appointment,Arrange or change a routine appointment. Use a spoken answer in this setting: a receptionist or simulated everyday health exchange. The partner asks one relevant question at a time.,Arrange or change a routine appointment. Write for this purpose: a brief appointment or absence email. Include only the information the reader needs.,seit; symptom vocabulary; time/reason; polite clarification; no medical advice,Explain a different fictional situation and clarify an unfamiliar appointment instruction,draft—teacher review required
active-a2-m08-l03,A2,8,3,Health and daily wellbeing,Explain a simple health-related absence,Explain a simple health-related absence. Use a spoken answer in this setting: a receptionist or simulated everyday health exchange. The partner asks one relevant question at a time.,Explain a simple health-related absence. Write for this purpose: a brief appointment or absence email. Include only the information the reader needs.,seit; symptom vocabulary; time/reason; polite clarification; no medical advice,Explain a different fictional situation and clarify an unfamiliar appointment instruction,draft—teacher review required
active-a2-m08-l04,A2,8,4,Health and daily wellbeing,Ask for repetition or clarification of everyday instructions,Ask for repetition or clarification of everyday instructions. Use a spoken answer in this setting: a receptionist or simulated everyday health exchange. The partner asks one relevant question at a time.,Ask for repetition or clarification of everyday instructions. Write for this purpose: a brief appointment or absence email. Include only the information the reader needs.,seit; symptom vocabulary; time/reason; polite clarification; no medical advice,Explain a different fictional situation and clarify an unfamiliar appointment instruction,draft—teacher review required
active-a2-m09-l01,A2,9,1,Appointments and practical administration,Ask what information a routine form needs,Ask what information a routine form needs. Use a spoken answer in this setting: a routine office reception exchange. The partner asks one relevant question at a time.,Ask what information a routine form needs. Write for this purpose: a short formal appointment message. Include only the information the reader needs.,formal Sie; personal details; dates; weil; question clauses as supported chunks,Arrange a new service appointment with different availability and required documents,draft—teacher review required
active-a2-m09-l02,A2,9,2,Appointments and practical administration,Request an appointment with a service office,Request an appointment with a service office. Use a spoken answer in this setting: a routine office reception exchange. The partner asks one relevant question at a time.,Request an appointment with a service office. Write for this purpose: a short formal appointment message. Include only the information the reader needs.,formal Sie; personal details; dates; weil; question clauses as supported chunks,Arrange a new service appointment with different availability and required documents,draft—teacher review required
active-a2-m09-l03,A2,9,3,Appointments and practical administration,Explain why you need to change an arrangement,Explain why you need to change an arrangement. Use a spoken answer in this setting: a routine office reception exchange. The partner asks one relevant question at a time.,Explain why you need to change an arrangement. Write for this purpose: a short formal appointment message. Include only the information the reader needs.,formal Sie; personal details; dates; weil; question clauses as supported chunks,Arrange a new service appointment with different availability and required documents,draft—teacher review required
active-a2-m09-l04,A2,9,4,Appointments and practical administration,Confirm the agreed details in writing,Confirm the agreed details in writing. Use a spoken answer in this setting: a routine office reception exchange. The partner asks one relevant question at a time.,Confirm the agreed details in writing. Write for this purpose: a short formal appointment message. Include only the information the reader needs.,formal Sie; personal details; dates; weil; question clauses as supported chunks,Arrange a new service appointment with different availability and required documents,draft—teacher review required
active-a2-m10-l01,A2,10,1,Social life and culture,Describe an event you enjoyed,Describe an event you enjoyed. Use a spoken answer in this setting: a familiar social-planning conversation. The partner asks one relevant question at a time.,"Describe an event you enjoyed. Write for this purpose: an invitation, reply or event recommendation. Include only the information the reader needs.",experience language; comparisons; reasons; agreeing/disagreeing politely,Plan a new activity when your partner rejects the first suggestion,draft—teacher review required
active-a2-m10-l02,A2,10,2,Social life and culture,Make and respond to an invitation,Make and respond to an invitation. Use a spoken answer in this setting: a familiar social-planning conversation. The partner asks one relevant question at a time.,"Make and respond to an invitation. Write for this purpose: an invitation, reply or event recommendation. Include only the information the reader needs.",experience language; comparisons; reasons; agreeing/disagreeing politely,Plan a new activity when your partner rejects the first suggestion,draft—teacher review required
active-a2-m10-l03,A2,10,3,Social life and culture,Compare two leisure plans,Compare two leisure plans. Use a spoken answer in this setting: a familiar social-planning conversation. The partner asks one relevant question at a time.,"Compare two leisure plans. Write for this purpose: an invitation, reply or event recommendation. Include only the information the reader needs.",experience language; comparisons; reasons; agreeing/disagreeing politely,Plan a new activity when your partner rejects the first suggestion,draft—teacher review required
active-a2-m10-l04,A2,10,4,Social life and culture,Resolve a simple disagreement about time or activity,Resolve a simple disagreement about time or activity. Use a spoken answer in this setting: a familiar social-planning conversation. The partner asks one relevant question at a time.,"Resolve a simple disagreement about time or activity. Write for this purpose: an invitation, reply or event recommendation. Include only the information the reader needs.",experience language; comparisons; reasons; agreeing/disagreeing politely,Plan a new activity when your partner rejects the first suggestion,draft—teacher review required
active-a2-m11-l01,A2,11,1,Digital life and money basics,Explain a simple problem using an app or device,Explain a simple problem using an app or device. Use a spoken answer in this setting: a routine support or household-budget exchange. The partner asks one relevant question at a time.,Explain a simple problem using an app or device. Write for this purpose: a support message or everyday money note. Include only the information the reader needs.,problem descriptions; sequence; numbers; help requests; paraphrasing essential details,Use a new fictional order/account problem without real credentials or financial advice,draft—teacher review required
active-a2-m11-l02,A2,11,2,Digital life and money basics,Ask for help with an online order or account,Ask for help with an online order or account. Use a spoken answer in this setting: a routine support or household-budget exchange. The partner asks one relevant question at a time.,Ask for help with an online order or account. Write for this purpose: a support message or everyday money note. Include only the information the reader needs.,problem descriptions; sequence; numbers; help requests; paraphrasing essential details,Use a new fictional order/account problem without real credentials or financial advice,draft—teacher review required
active-a2-m11-l03,A2,11,3,Digital life and money basics,Discuss a familiar purchase within a budget,Discuss a familiar purchase within a budget. Use a spoken answer in this setting: a routine support or household-budget exchange. The partner asks one relevant question at a time.,Discuss a familiar purchase within a budget. Write for this purpose: a support message or everyday money note. Include only the information the reader needs.,problem descriptions; sequence; numbers; help requests; paraphrasing essential details,Use a new fictional order/account problem without real credentials or financial advice,draft—teacher review required
active-a2-m11-l04,A2,11,4,Digital life and money basics,Pass on a short practical message accurately,Pass on a short practical message accurately. Use a spoken answer in this setting: a routine support or household-budget exchange. The partner asks one relevant question at a time.,Pass on a short practical message accurately. Write for this purpose: a support message or everyday money note. Include only the information the reader needs.,problem descriptions; sequence; numbers; help requests; paraphrasing essential details,Use a new fictional order/account problem without real credentials or financial advice,draft—teacher review required
active-a2-m12-l01,A2,12,1,Community and a busy week,Ask about a local club or volunteer activity,Ask about a local club or volunteer activity. Use a spoken answer in this setting: a routine collaborative planning exchange. The partner asks one relevant question at a time.,Ask about a local club or volunteer activity. Write for this purpose: a short group-planning message. Include only the information the reader needs.,purpose chunks; modals; object references; deshalb/aber; no advanced civic debate,Plan a different local activity and pass on a late change to someone else,draft—teacher review required
active-a2-m12-l02,A2,12,2,Community and a busy week,Explain how you can help with a small event,Explain how you can help with a small event. Use a spoken answer in this setting: a routine collaborative planning exchange. The partner asks one relevant question at a time.,Explain how you can help with a small event. Write for this purpose: a short group-planning message. Include only the information the reader needs.,purpose chunks; modals; object references; deshalb/aber; no advanced civic debate,Plan a different local activity and pass on a late change to someone else,draft—teacher review required
active-a2-m12-l03,A2,12,3,Community and a busy week,Coordinate who brings or does what,Coordinate who brings or does what. Use a spoken answer in this setting: a routine collaborative planning exchange. The partner asks one relevant question at a time.,Coordinate who brings or does what. Write for this purpose: a short group-planning message. Include only the information the reader needs.,purpose chunks; modals; object references; deshalb/aber; no advanced civic debate,Plan a different local activity and pass on a late change to someone else,draft—teacher review required
active-a2-m12-l04,A2,12,4,Community and a busy week,Give a connected update when one arrangement changes,Give a connected update when one arrangement changes. Use a spoken answer in this setting: a routine collaborative planning exchange. The partner asks one relevant question at a time.,Give a connected update when one arrangement changes. Write for this purpose: a short group-planning message. Include only the information the reader needs.,purpose chunks; modals; object references; deshalb/aber; no advanced civic debate,Plan a different local activity and pass on a late change to someone else,draft—teacher review required
active-b1-m01-l01,B1,1,1,Relationships and personal stories,Tell a connected story about an important experience,Tell a connected story about an important experience. Use a spoken answer in this setting: a familiar conversation with an unprepared follow-up. The partner asks one relevant question at a time.,Tell a connected story about an important experience. Write for this purpose: a connected personal email. Include only the information the reader needs.,connected past narration; reasons; comparisons; polite advice; no required intimate disclosure,Discuss an unfamiliar personal-choice scenario and explain your reasoning,draft—teacher review required
active-b1-m01-l02,B1,1,2,Relationships and personal stories,Explain how a relationship or routine has changed,Explain how a relationship or routine has changed. Use a spoken answer in this setting: a familiar conversation with an unprepared follow-up. The partner asks one relevant question at a time.,Explain how a relationship or routine has changed. Write for this purpose: a connected personal email. Include only the information the reader needs.,connected past narration; reasons; comparisons; polite advice; no required intimate disclosure,Discuss an unfamiliar personal-choice scenario and explain your reasoning,draft—teacher review required
active-b1-m01-l03,B1,1,3,Relationships and personal stories,Give a friend practical advice with reasons,Give a friend practical advice with reasons. Use a spoken answer in this setting: a familiar conversation with an unprepared follow-up. The partner asks one relevant question at a time.,Give a friend practical advice with reasons. Write for this purpose: a connected personal email. Include only the information the reader needs.,connected past narration; reasons; comparisons; polite advice; no required intimate disclosure,Discuss an unfamiliar personal-choice scenario and explain your reasoning,draft—teacher review required
active-b1-m01-l04,B1,1,4,Relationships and personal stories,Discuss two viewpoints on a familiar personal choice,Discuss two viewpoints on a familiar personal choice. Use a spoken answer in this setting: a familiar conversation with an unprepared follow-up. The partner asks one relevant question at a time.,Discuss two viewpoints on a familiar personal choice. Write for this purpose: a connected personal email. Include only the information the reader needs.,connected past narration; reasons; comparisons; polite advice; no required intimate disclosure,Discuss an unfamiliar personal-choice scenario and explain your reasoning,draft—teacher review required
active-b1-m02-l01,B1,2,1,Housing and neighbourhood life,Explain a housing problem with relevant detail,Explain a housing problem with relevant detail. Use a spoken answer in this setting: a familiar housing or neighbour negotiation. The partner asks one relevant question at a time.,Explain a housing problem with relevant detail. Write for this purpose: a reasoned housing request. Include only the information the reader needs.,precise descriptions; relative clauses when useful; polite requests; compromise language,Resolve a different housing issue when the first proposed solution is unsuitable,draft—teacher review required
active-b1-m02-l02,B1,2,2,Housing and neighbourhood life,Compare housing choices against several needs,Compare housing choices against several needs. Use a spoken answer in this setting: a familiar housing or neighbour negotiation. The partner asks one relevant question at a time.,Compare housing choices against several needs. Write for this purpose: a reasoned housing request. Include only the information the reader needs.,precise descriptions; relative clauses when useful; polite requests; compromise language,Resolve a different housing issue when the first proposed solution is unsuitable,draft—teacher review required
active-b1-m02-l03,B1,2,3,Housing and neighbourhood life,Negotiate a practical household compromise,Negotiate a practical household compromise. Use a spoken answer in this setting: a familiar housing or neighbour negotiation. The partner asks one relevant question at a time.,Negotiate a practical household compromise. Write for this purpose: a reasoned housing request. Include only the information the reader needs.,precise descriptions; relative clauses when useful; polite requests; compromise language,Resolve a different housing issue when the first proposed solution is unsuitable,draft—teacher review required
active-b1-m02-l04,B1,2,4,Housing and neighbourhood life,Write a clear request to a landlord or housing contact,Write a clear request to a landlord or housing contact. Use a spoken answer in this setting: a familiar housing or neighbour negotiation. The partner asks one relevant question at a time.,Write a clear request to a landlord or housing contact. Write for this purpose: a reasoned housing request. Include only the information the reader needs.,precise descriptions; relative clauses when useful; polite requests; compromise language,Resolve a different housing issue when the first proposed solution is unsuitable,draft—teacher review required
active-b1-m03-l01,B1,3,1,"School, college and future study",Explain a learning goal and how you plan to reach it,Explain a learning goal and how you plan to reach it. Use a spoken answer in this setting: a course-office exchange or short explanation with follow-up. The partner asks one relevant question at a time.,Explain a learning goal and how you plan to reach it. Write for this purpose: a connected course inquiry or reasoned study choice. Include only the information the reader needs.,structured explanation; indirect questions; reasons; basic relative clauses; no academic essay requirement,Explain a new training choice and clarify a changed entry or attendance requirement,draft—teacher review required
active-b1-m03-l02,B1,3,2,"School, college and future study",Ask for clarification of a course requirement,Ask for clarification of a course requirement. Use a spoken answer in this setting: a course-office exchange or short explanation with follow-up. The partner asks one relevant question at a time.,Ask for clarification of a course requirement. Write for this purpose: a connected course inquiry or reasoned study choice. Include only the information the reader needs.,structured explanation; indirect questions; reasons; basic relative clauses; no academic essay requirement,Explain a new training choice and clarify a changed entry or attendance requirement,draft—teacher review required
active-b1-m03-l03,B1,3,3,"School, college and future study",Compare two study or training choices,Compare two study or training choices. Use a spoken answer in this setting: a course-office exchange or short explanation with follow-up. The partner asks one relevant question at a time.,Compare two study or training choices. Write for this purpose: a connected course inquiry or reasoned study choice. Include only the information the reader needs.,structured explanation; indirect questions; reasons; basic relative clauses; no academic essay requirement,Explain a new training choice and clarify a changed entry or attendance requirement,draft—teacher review required
active-b1-m03-l04,B1,3,4,"School, college and future study",Present a familiar study topic and answer questions,Present a familiar study topic and answer questions. Use a spoken answer in this setting: a course-office exchange or short explanation with follow-up. The partner asks one relevant question at a time.,Present a familiar study topic and answer questions. Write for this purpose: a connected course inquiry or reasoned study choice. Include only the information the reader needs.,structured explanation; indirect questions; reasons; basic relative clauses; no academic essay requirement,Explain a new training choice and clarify a changed entry or attendance requirement,draft—teacher review required
active-b1-m04-l01,B1,4,1,Office teamwork,Explain a work process to a new colleague,Explain a work process to a new colleague. Use a spoken answer in this setting: a practical team discussion. The partner asks one relevant question at a time.,Explain a work process to a new colleague. Write for this purpose: a clear workplace update or meeting summary. Include only the information the reader needs.,sequence; cause/consequence; polite disagreement; reference; relevant passive as an option,Handle a different project constraint and write an accurate handover note,draft—teacher review required
active-b1-m04-l02,B1,4,2,Office teamwork,Report a problem and its impact on a familiar task,Report a problem and its impact on a familiar task. Use a spoken answer in this setting: a practical team discussion. The partner asks one relevant question at a time.,Report a problem and its impact on a familiar task. Write for this purpose: a clear workplace update or meeting summary. Include only the information the reader needs.,sequence; cause/consequence; polite disagreement; reference; relevant passive as an option,Handle a different project constraint and write an accurate handover note,draft—teacher review required
active-b1-m04-l03,B1,4,3,Office teamwork,Discuss priorities and negotiate a workable deadline,Discuss priorities and negotiate a workable deadline. Use a spoken answer in this setting: a practical team discussion. The partner asks one relevant question at a time.,Discuss priorities and negotiate a workable deadline. Write for this purpose: a clear workplace update or meeting summary. Include only the information the reader needs.,sequence; cause/consequence; polite disagreement; reference; relevant passive as an option,Handle a different project constraint and write an accurate handover note,draft—teacher review required
active-b1-m04-l04,B1,4,4,Office teamwork,Summarise what the team agreed and who will do what,Summarise what the team agreed and who will do what. Use a spoken answer in this setting: a practical team discussion. The partner asks one relevant question at a time.,Summarise what the team agreed and who will do what. Write for this purpose: a clear workplace update or meeting summary. Include only the information the reader needs.,sequence; cause/consequence; polite disagreement; reference; relevant passive as an option,Handle a different project constraint and write an accurate handover note,draft—teacher review required
active-b1-m05-l01,B1,5,1,Jobs and professional introductions,Describe your relevant experience and strengths,Describe your relevant experience and strengths. Use a spoken answer in this setting: a routine job conversation with follow-up. The partner asks one relevant question at a time.,Describe your relevant experience and strengths. Write for this purpose: a short application or professional introduction. Include only the information the reader needs.,past experience; examples; formal register; strengths with evidence; not specialist professional proficiency,Respond to a different fictional role with new requirements rather than repeat an application script,draft—teacher review required
active-b1-m05-l02,B1,5,2,Jobs and professional introductions,Ask about a role or training opportunity,Ask about a role or training opportunity. Use a spoken answer in this setting: a routine job conversation with follow-up. The partner asks one relevant question at a time.,Ask about a role or training opportunity. Write for this purpose: a short application or professional introduction. Include only the information the reader needs.,past experience; examples; formal register; strengths with evidence; not specialist professional proficiency,Respond to a different fictional role with new requirements rather than repeat an application script,draft—teacher review required
active-b1-m05-l03,B1,5,3,Jobs and professional introductions,Write a simple tailored application message,Write a simple tailored application message. Use a spoken answer in this setting: a routine job conversation with follow-up. The partner asks one relevant question at a time.,Write a simple tailored application message. Write for this purpose: a short application or professional introduction. Include only the information the reader needs.,past experience; examples; formal register; strengths with evidence; not specialist professional proficiency,Respond to a different fictional role with new requirements rather than repeat an application script,draft—teacher review required
active-b1-m05-l04,B1,5,4,Jobs and professional introductions,Answer routine interview questions with examples,Answer routine interview questions with examples. Use a spoken answer in this setting: a routine job conversation with follow-up. The partner asks one relevant question at a time.,Answer routine interview questions with examples. Write for this purpose: a short application or professional introduction. Include only the information the reader needs.,past experience; examples; formal register; strengths with evidence; not specialist professional proficiency,Respond to a different fictional role with new requirements rather than repeat an application script,draft—teacher review required
active-b1-m06-l01,B1,6,1,"Restaurants, hospitality and complaints",Explain a service problem politely,Explain a service problem politely. Use a spoken answer in this setting: a familiar hospitality problem and negotiated solution. The partner asks one relevant question at a time.,Explain a service problem politely. Write for this purpose: a clear complaint or useful review. Include only the information the reader needs.,event sequence; polite requests; reasons; alternatives; preserve meaning about dietary restrictions,Resolve an unfamiliar booking/order mismatch with a practical compromise,draft—teacher review required
active-b1-m06-l02,B1,6,2,"Restaurants, hospitality and complaints",Make a request with relevant dietary or group needs,Make a request with relevant dietary or group needs. Use a spoken answer in this setting: a familiar hospitality problem and negotiated solution. The partner asks one relevant question at a time.,Make a request with relevant dietary or group needs. Write for this purpose: a clear complaint or useful review. Include only the information the reader needs.,event sequence; polite requests; reasons; alternatives; preserve meaning about dietary restrictions,Resolve an unfamiliar booking/order mismatch with a practical compromise,draft—teacher review required
active-b1-m06-l03,B1,6,3,"Restaurants, hospitality and complaints",Respond when the first proposed solution is not suitable,Respond when the first proposed solution is not suitable. Use a spoken answer in this setting: a familiar hospitality problem and negotiated solution. The partner asks one relevant question at a time.,Respond when the first proposed solution is not suitable. Write for this purpose: a clear complaint or useful review. Include only the information the reader needs.,event sequence; polite requests; reasons; alternatives; preserve meaning about dietary restrictions,Resolve an unfamiliar booking/order mismatch with a practical compromise,draft—teacher review required
active-b1-m06-l04,B1,6,4,"Restaurants, hospitality and complaints",Write a balanced account of a service experience,Write a balanced account of a service experience. Use a spoken answer in this setting: a familiar hospitality problem and negotiated solution. The partner asks one relevant question at a time.,Write a balanced account of a service experience. Write for this purpose: a clear complaint or useful review. Include only the information the reader needs.,event sequence; polite requests; reasons; alternatives; preserve meaning about dietary restrictions,Resolve an unfamiliar booking/order mismatch with a practical compromise,draft—teacher review required
active-b1-m07-l01,B1,7,1,"Shopping, services and consumer problems",Explain a product fault and what you already tried,Explain a product fault and what you already tried. Use a spoken answer in this setting: a familiar service negotiation. The partner asks one relevant question at a time.,Explain a product fault and what you already tried. Write for this purpose: a structured customer-service message. Include only the information the reader needs.,specific descriptions; chronology; conditional requests; clarification; no legal-rights advice,Explain a new fault with different evidence and negotiate a different remedy,draft—teacher review required
active-b1-m07-l02,B1,7,2,"Shopping, services and consumer problems",Ask about a refund or replacement clearly,Ask about a refund or replacement clearly. Use a spoken answer in this setting: a familiar service negotiation. The partner asks one relevant question at a time.,Ask about a refund or replacement clearly. Write for this purpose: a structured customer-service message. Include only the information the reader needs.,specific descriptions; chronology; conditional requests; clarification; no legal-rights advice,Explain a new fault with different evidence and negotiate a different remedy,draft—teacher review required
active-b1-m07-l03,B1,7,3,"Shopping, services and consumer problems",Compare two proposed service solutions,Compare two proposed service solutions. Use a spoken answer in this setting: a familiar service negotiation. The partner asks one relevant question at a time.,Compare two proposed service solutions. Write for this purpose: a structured customer-service message. Include only the information the reader needs.,specific descriptions; chronology; conditional requests; clarification; no legal-rights advice,Explain a new fault with different evidence and negotiate a different remedy,draft—teacher review required
active-b1-m07-l04,B1,7,4,"Shopping, services and consumer problems",Write a factual follow-up documenting an agreement,Write a factual follow-up documenting an agreement. Use a spoken answer in this setting: a familiar service negotiation. The partner asks one relevant question at a time.,Write a factual follow-up documenting an agreement. Write for this purpose: a structured customer-service message. Include only the information the reader needs.,specific descriptions; chronology; conditional requests; clarification; no legal-rights advice,Explain a new fault with different evidence and negotiate a different remedy,draft—teacher review required
active-b1-m08-l01,B1,8,1,Travel when plans change,Explain a disrupted journey in sequence,Explain a disrupted journey in sequence. Use a spoken answer in this setting: a travel exchange with an unexpected but familiar problem. The partner asks one relevant question at a time.,Explain a disrupted journey in sequence. Write for this purpose: a connected travel account or practical complaint. Include only the information the reader needs.,narration; comparison; reasoned choice; repair strategies; everyday travel limits,"Handle an unseen route disruption, clarify an alternative and communicate the new plan",draft—teacher review required
active-b1-m08-l02,B1,8,2,Travel when plans change,Ask for and evaluate alternative travel plans,Ask for and evaluate alternative travel plans. Use a spoken answer in this setting: a travel exchange with an unexpected but familiar problem. The partner asks one relevant question at a time.,Ask for and evaluate alternative travel plans. Write for this purpose: a connected travel account or practical complaint. Include only the information the reader needs.,narration; comparison; reasoned choice; repair strategies; everyday travel limits,"Handle an unseen route disruption, clarify an alternative and communicate the new plan",draft—teacher review required
active-b1-m08-l03,B1,8,3,Travel when plans change,Resolve an accommodation or booking problem,Resolve an accommodation or booking problem. Use a spoken answer in this setting: a travel exchange with an unexpected but familiar problem. The partner asks one relevant question at a time.,Resolve an accommodation or booking problem. Write for this purpose: a connected travel account or practical complaint. Include only the information the reader needs.,narration; comparison; reasoned choice; repair strategies; everyday travel limits,"Handle an unseen route disruption, clarify an alternative and communicate the new plan",draft—teacher review required
active-b1-m08-l04,B1,8,4,Travel when plans change,Recommend a trip with reasons and practical cautions,Recommend a trip with reasons and practical cautions. Use a spoken answer in this setting: a travel exchange with an unexpected but familiar problem. The partner asks one relevant question at a time.,Recommend a trip with reasons and practical cautions. Write for this purpose: a connected travel account or practical complaint. Include only the information the reader needs.,narration; comparison; reasoned choice; repair strategies; everyday travel limits,"Handle an unseen route disruption, clarify an alternative and communicate the new plan",draft—teacher review required
active-b1-m09-l01,B1,9,1,"Health, appointments and public services",Give a clear account of a familiar problem and relevant history,Give a clear account of a familiar problem and relevant history. Use a spoken answer in this setting: a simulated appointment or public-service exchange. The partner asks one relevant question at a time.,Give a clear account of a familiar problem and relevant history. Write for this purpose: a clear appointment or administrative message. Include only the information the reader needs.,duration; past events; precise questions; paraphrasing; no diagnosis or specialised legal vocabulary,Handle an unfamiliar routine service situation and accurately relay the next steps,draft—teacher review required
active-b1-m09-l02,B1,9,2,"Health, appointments and public services",Clarify information you do not understand,Clarify information you do not understand. Use a spoken answer in this setting: a simulated appointment or public-service exchange. The partner asks one relevant question at a time.,Clarify information you do not understand. Write for this purpose: a clear appointment or administrative message. Include only the information the reader needs.,duration; past events; precise questions; paraphrasing; no diagnosis or specialised legal vocabulary,Handle an unfamiliar routine service situation and accurately relay the next steps,draft—teacher review required
active-b1-m09-l03,B1,9,3,"Health, appointments and public services",Explain a practical constraint and request an alternative,Explain a practical constraint and request an alternative. Use a spoken answer in this setting: a simulated appointment or public-service exchange. The partner asks one relevant question at a time.,Explain a practical constraint and request an alternative. Write for this purpose: a clear appointment or administrative message. Include only the information the reader needs.,duration; past events; precise questions; paraphrasing; no diagnosis or specialised legal vocabulary,Handle an unfamiliar routine service situation and accurately relay the next steps,draft—teacher review required
active-b1-m09-l04,B1,9,4,"Health, appointments and public services",Write an accurate summary or follow-up request,Write an accurate summary or follow-up request. Use a spoken answer in this setting: a simulated appointment or public-service exchange. The partner asks one relevant question at a time.,Write an accurate summary or follow-up request. Write for this purpose: a clear appointment or administrative message. Include only the information the reader needs.,duration; past events; precise questions; paraphrasing; no diagnosis or specialised legal vocabulary,Handle an unfamiliar routine service situation and accurately relay the next steps,draft—teacher review required
active-b1-m10-l01,B1,10,1,"Media, culture and everyday opinions",Summarise the main point of a short familiar text or audio,Summarise the main point of a short familiar text or audio. Use a spoken answer in this setting: a familiar-topic discussion with follow-up. The partner asks one relevant question at a time.,Summarise the main point of a short familiar text or audio. Write for this purpose: a concise opinion or recommendation. Include only the information the reader needs.,cohesion; opinion/reason/example; contrast; source versus own view; no abstract B2 debate,Discuss a new familiar media/culture prompt after a short unseen input,draft—teacher review required
active-b1-m10-l02,B1,10,2,"Media, culture and everyday opinions",State an opinion with reasons and an example,State an opinion with reasons and an example. Use a spoken answer in this setting: a familiar-topic discussion with follow-up. The partner asks one relevant question at a time.,State an opinion with reasons and an example. Write for this purpose: a concise opinion or recommendation. Include only the information the reader needs.,cohesion; opinion/reason/example; contrast; source versus own view; no abstract B2 debate,Discuss a new familiar media/culture prompt after a short unseen input,draft—teacher review required
active-b1-m10-l03,B1,10,3,"Media, culture and everyday opinions",Respond respectfully to a different view,Respond respectfully to a different view. Use a spoken answer in this setting: a familiar-topic discussion with follow-up. The partner asks one relevant question at a time.,Respond respectfully to a different view. Write for this purpose: a concise opinion or recommendation. Include only the information the reader needs.,cohesion; opinion/reason/example; contrast; source versus own view; no abstract B2 debate,Discuss a new familiar media/culture prompt after a short unseen input,draft—teacher review required
active-b1-m10-l04,B1,10,4,"Media, culture and everyday opinions",Write a short connected discussion contribution,Write a short connected discussion contribution. Use a spoken answer in this setting: a familiar-topic discussion with follow-up. The partner asks one relevant question at a time.,Write a short connected discussion contribution. Write for this purpose: a concise opinion or recommendation. Include only the information the reader needs.,cohesion; opinion/reason/example; contrast; source versus own view; no abstract B2 debate,Discuss a new familiar media/culture prompt after a short unseen input,draft—teacher review required
active-b1-m11-l01,B1,11,1,"Community, environment and shared choices",Explain a local everyday problem,Explain a local everyday problem. Use a spoken answer in this setting: a collaborative familiar-topic discussion. The partner asks one relevant question at a time.,Explain a local everyday problem. Write for this purpose: a proposal or practical group summary. Include only the information the reader needs.,purpose; conditions; reasons; negotiation; accessible local issues instead of technical policy,Agree on a different small community plan with a budget or time constraint,draft—teacher review required
active-b1-m11-l02,B1,11,2,"Community, environment and shared choices",Compare realistic ways to improve the situation,Compare realistic ways to improve the situation. Use a spoken answer in this setting: a collaborative familiar-topic discussion. The partner asks one relevant question at a time.,Compare realistic ways to improve the situation. Write for this purpose: a proposal or practical group summary. Include only the information the reader needs.,purpose; conditions; reasons; negotiation; accessible local issues instead of technical policy,Agree on a different small community plan with a budget or time constraint,draft—teacher review required
active-b1-m11-l03,B1,11,3,"Community, environment and shared choices",Plan an activity together and assign responsibilities,Plan an activity together and assign responsibilities. Use a spoken answer in this setting: a collaborative familiar-topic discussion. The partner asks one relevant question at a time.,Plan an activity together and assign responsibilities. Write for this purpose: a proposal or practical group summary. Include only the information the reader needs.,purpose; conditions; reasons; negotiation; accessible local issues instead of technical policy,Agree on a different small community plan with a budget or time constraint,draft—teacher review required
